,RelayName,phasors,digital,RealPower,PVStatus
0,SEL-751-1,"[(2330.6836295465437, 2.4680843854258403), (2370.473180127599, 0.39943889398117816), (2355.011110783344, -1.700607112923023), (426.32419588852804, 2.2578461432450583), (255.44940790692783, 0.18265461291457089), (310.6638054231616, -1.8958041986615446)]",[1],"[971748.3768000003, 591362.8968, 717722.9184000001]",1
1,SEL-351-0,"[(2354.33154296875, 2.4292550086975098), (2441.71142578125, 0.3767120838165283), (2396.02783203125, -1.7244700193405151), (67.9010238647461, 1.9964300394058228), (8.319536209106445, -1.2373297214508057), (30.168167114257812, -2.0239734649658203)]",[1],"[145119.8084075284, -878.2108175182167, 69065.91972707641]",1
2,PMU-3,"[(2290.872314453125, 0.3824441730976105), (2373.060546875, -1.6694258451461792), (2328.24658203125, 2.511841297149658), (39.01722717285156, 0.14485371112823486), (12.071876525878906, -2.3882319927215576), (39.32371139526367, 2.2756106853485107)]",[1],"[89382.7170249142, 28645.039535034695, 91554.51846901553]",1
3,SEL-751-3,"[(2279.2243835568274, 2.4331914758147346), (2368.35151499941, 0.38194671420767334), (2330.3887372281906, -1.7164583333698165), (321.5912436618883, 2.423792326917013), (271.41772970828566, 0.2538431721366935), (240.3163781351575, -1.7420745246421552)]",[1],"[732946.2272000002, 637545.3568000002, 559846.848]",1
4,PMU-5,"[(2243.673095703125, 0.3445841073989868), (2336.91064453125, -1.6990915536880493), (2306.469482421875, 2.4921343326568604), (118.72935485839844, 1.2099227905273438), (115.02471160888672, -1.0311124324798584), (102.12158966064453, -2.8104076385498047)]",[1],"[271962.77153519524, 272942.0549640421, 236746.75357046427]",1
5,PMU-6,"[(2239.59814453125, 0.34414398670196533), (2333.04248046875, -1.6976509094238281), (2300.856689453125, 2.492366313934326), (138.60476684570312, 0.1360500603914261), (122.38294219970703, -2.2436273097991943), (112.13829803466797, 1.9818997383117676)]",[1],"[310416.93130438705, 285511.6398214475, 258003.91317551944]",1
6,SEL-751-2,"[(2301.3798471786445, 2.4483904556938887), (2376.562097168934, 0.38984924874952837), (2344.147481217852, -1.7100986046599742), (182.61222741098146, 2.366107424461128), (141.64293134498453, 0.23949926591015902), (120.69770503203449, -1.7520726380531597)]",[1],"[418838.2176000001, 332825.68000000005, 282684.0192000001]",1
7,SEL-351-1,"[(2353.896240234375, 2.430598020553589), (2439.51220703125, 0.37745991349220276), (2395.480712890625, -1.7233364582061768), (1.24688720703125, -0.3313354253768921), (1.2381008863449097, -0.33018434047698975), (1.198720097541809, -0.3168792724609375)]",[0],"[-2726.041590157131, 2295.1591355064793, 469.78036136313204]",1
8,PMU-RTL3,"[(2212.555908203125, 0.33399492502212524), (2311.335205078125, -1.702968716621399), (2286.458984375, 2.490445375442505), (107.77749633789062, 2.980347156524658), (94.15301513671875, 0.9102529883384705), (75.5391845703125, -1.1370503902435303)]",[1],"[238209.42527751968, 217392.87095288318, 172371.20492305883]",1
9,PMU-RTL4,"[(2248.939697265625, 0.35259464383125305), (2340.6533203125, -1.692661166191101), (2309.447021484375, 2.4954826831817627), (268.8617858886719, 0.5140291452407837), (200.9281768798828, -1.6268056631088257), (164.46717834472656, 2.7179465293884277)]",[1],"[604651.543291954, 470302.89369720843, 379825.37210100476]",1
